id_temporada,temporada,id_competicion,estado,formato,numero_de_clubes,total_partidos,partidos_completados,jornada,total_jornadas,progreso,promedio_goles_por_partido,promedio_goles_equipo_local,promedio_goles_equipo_visitante,porcentaje_goles_ambos_equipos,porcentaje_porteria_a_cero,riesgo_prediccion,porcentaje_ventaja_goles_local,porcentaje_ventaja_defensa_local,porcentaje_ventaja_local,promedio_corners_por_partido,promedio_corners_equipo_local,promedio_corners_equipo_visitante,total_corners_temporada,promedio_tarjetas_por_partido,promedio_tarjetas_equipo_local,promedio_tarjetas_equipo_visitante,total_tarjetas_temporada,porcentaje_mas_de_05,porcentaje_mas_de_15,porcentaje_mas_de_25,porcentaje_mas_de_35,porcentaje_mas_de_45,porcentaje_mas_de_55,porcentaje_menos_de_05,porcentaje_menos_de_15,porcentaje_menos_de_25,porcentaje_menos_de_35,porcentaje_menos_de_45,porcentaje_menos_de_55,porcentaje_mas_de_65_corners,porcentaje_mas_de_75_corners,porcentaje_mas_de_85_corners,porcentaje_mas_de_95_corners,porcentaje_mas_de_105_corners,porcentaje_mas_de_115_corners,porcentaje_mas_de_125_corners,porcentaje_mas_de_135_corners,porcentaje_mas_de_05_tarjetas,porcentaje_mas_de_15_tarjetas,porcentaje_mas_de_25_tarjetas,porcentaje_mas_de_35_tarjetas,porcentaje_mas_de_45_tarjetas,porcentaje_mas_de_55_tarjetas,porcentaje_mas_de_65_tarjetas,porcentaje_mas_de_75_tarjetas,goles_min_0_a_10,goles_min_11_a_20,goles_min_21_a_30,goles_min_31_a_40,goles_min_41_a_50,goles_min_51_a_60,goles_min_61_a_70,goles_min_71_a_80,goles_min_81_a_90,goles_min_0_a_15,goles_min_16_a_30,goles_min_31_a_45,goles_min_46_a_60,goles_min_61_a_75,goles_min_76_a_90,xg_promedio_por_partido
10/11_LaLiga2,2010/2011,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.63,1.57,1.05,52,55,72,50,33,42,0.0,0.0,0.0,0,6.74,3.12,3.62,3122,93,74,47,26,13,5,7,26,53,74,87,95,0,0,0,0,0,0,0,0,100,99,96,89,76,66,54,38,100,113,119,120,133,139,135,145,225,152,180,199,193,201,304,0.0
11/12_LaLiga2,2011/2012,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.62,1.46,1.16,51,57,66,26,21,24,0.0,0.0,0.0,0,6.53,2.87,3.66,3016,92,72,50,28,12,5,8,28,50,72,88,95,0,0,0,0,0,0,0,0,100,98,94,86,78,62,49,34,103,108,102,132,141,155,124,145,216,165,148,222,206,197,288,0.0
12/13_LaLiga2,2012/2013,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.6,1.56,1.04,49,61,69,50,33,42,9.97,5.46,4.51,389,6.36,3.0,3.37,2972,91,69,46,27,15,8,9,31,54,73,85,92,85,72,54,46,36,28,23,15,100,98,94,87,76,63,46,31,108,117,107,126,131,144,138,126,220,167,165,198,203,196,288,0.0
13/14_LaLiga2,2013/2014,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.32,1.34,0.98,46,66,59,37,27,32,10.2,5.91,4.29,4744,5.97,2.83,3.14,2794,88,66,43,23,9,3,12,34,56,77,91,97,88,78,69,57,44,32,22,15,99,98,92,82,70,55,42,30,85,97,112,90,116,136,142,122,185,143,151,149,193,207,242,0.0
14/15_LaLiga2,2014/2015,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.46,1.42,1.04,49,63,67,37,27,32,9.32,5.34,3.98,3356,6.18,2.84,3.35,2882,88,70,43,23,12,5,12,30,56,77,88,95,80,69,57,47,35,25,16,10,100,98,95,88,75,61,42,28,86,129,124,114,128,130,137,131,173,158,181,178,194,194,247,0.0
15/16_LaLiga2,2015/2016,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.27,1.34,0.93,47,63,53,44,31,38,10.2,5.79,4.41,4598,6.23,2.87,3.36,2908,90,66,39,21,9,2,10,34,61,79,91,98,86,76,68,55,43,33,24,17,100,98,93,87,74,61,44,28,88,91,115,91,120,113,123,134,187,129,165,160,164,187,257,0.0
16/17_LaLiga2,2016/2017,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.25,1.33,0.92,48,62,54,45,31,38,9.68,5.63,4.05,4423,5.22,2.26,2.96,2444,90,66,38,19,8,4,10,34,62,81,92,96,84,74,61,50,38,27,19,12,99,97,87,75,59,44,26,16,92,119,93,92,99,113,132,123,192,155,149,147,157,193,254,0.0
17/18_LaLiga2,2017/2018,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.31,1.38,0.93,48,62,54,48,33,41,9.94,5.7,4.24,4650,5.32,2.34,2.98,2490,90,69,43,18,8,2,10,31,56,82,92,98,86,77,65,51,42,30,21,14,99,96,90,76,60,42,28,18,83,100,99,122,107,140,124,114,194,129,153,182,187,178,254,2.88
18/19_LaLiga2,2018/2019,LaLiga2,Completado,Liga,22,468,450,0,0,100,2.23,1.31,0.92,46,65,48,42,30,36,9.63,5.64,3.99,4303,5.71,2.7,3.02,2554,89,66,38,17,8,4,11,34,62,83,92,96,83,71,60,47,35,28,21,14,99,96,91,81,68,53,34,21,93,100,85,81,115,104,110,131,181,143,135,145,155,181,241,2.86
19/20_LaLiga2,2019/2020,LaLiga2,Completado,Liga,22,468,468,0,0,100,2.27,1.26,1.01,50,61,48,25,20,23,8.96,4.94,4.02,4193,5.72,2.74,2.98,2678,89,67,38,22,7,4,11,33,62,78,93,96,77,68,56,41,30,20,11,8,100,98,93,83,69,52,37,21,82,94,100,93,116,115,127,118,218,137,139,161,163,187,276,2.88
