id_partido,id_competicion,id_temporada,fecha,id_equipo_local,id_equipo_visitante,jornada,goles_equipo_local,goles_equipo_visitante
,CopaReyESP,15/16_CopaReyESP,2015-12-17,466,481,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-12-17,467,463,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-12-17,456,486,,2,0
,CopaReyESP,15/16_CopaReyESP,2016-01-06,470,456,,3,2
,CopaReyESP,15/16_CopaReyESP,2016-01-06,485,471,,1,1
,CopaReyESP,15/16_CopaReyESP,2016-01-06,473,467,,4,0
,CopaReyESP,15/16_CopaReyESP,2016-01-06,469,459,,0,2
,CopaReyESP,15/16_CopaReyESP,2016-01-06,457,465,,4,1
,CopaReyESP,15/16_CopaReyESP,2016-01-06,476,460,,1,1
,CopaReyESP,15/16_CopaReyESP,2016-01-07,576,466,,0,3
,CopaReyESP,15/16_CopaReyESP,2016-01-07,464,461,,2,3
,CopaReyESP,15/16_CopaReyESP,2016-01-12,471,485,,0,3
,CopaReyESP,15/16_CopaReyESP,2016-01-12,459,469,,4,0
,CopaReyESP,15/16_CopaReyESP,2016-01-13,456,470,,0,1
,CopaReyESP,15/16_CopaReyESP,2016-01-13,466,576,,2,0
,CopaReyESP,15/16_CopaReyESP,2016-01-13,465,457,,0,2
,CopaReyESP,15/16_CopaReyESP,2016-01-13,461,464,,3,2
,CopaReyESP,15/16_CopaReyESP,2016-01-14,467,473,,0,3
,CopaReyESP,15/16_CopaReyESP,2016-01-14,460,476,,3,0
,CopaReyESP,15/16_CopaReyESP,2016-01-20,466,460,,0,0
,CopaReyESP,15/16_CopaReyESP,2016-01-20,470,457,,1,2
,CopaReyESP,15/16_CopaReyESP,2016-01-21,473,461,,1,1
,CopaReyESP,15/16_CopaReyESP,2016-01-21,459,485,,2,0
,CopaReyESP,15/16_CopaReyESP,2016-01-27,460,466,,2,3
,CopaReyESP,15/16_CopaReyESP,2016-01-27,457,470,,3,1
,CopaReyESP,15/16_CopaReyESP,2016-01-28,485,459,,0,3
,CopaReyESP,15/16_CopaReyESP,2016-01-28,461,473,,0,1
,CopaReyESP,15/16_CopaReyESP,2016-02-03,457,473,,7,0
,CopaReyESP,15/16_CopaReyESP,2016-02-04,459,466,,4,0
,CopaReyESP,15/16_CopaReyESP,2016-02-10,473,457,,1,1
,CopaReyESP,15/16_CopaReyESP,2016-02-11,466,459,,2,2
,CopaReyESP,15/16_CopaReyESP,2016-05-22,457,459,,2,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,527,523,,2,1
,CopaReyESP,16/17_CopaReyESP,2016-08-31,786,501,,0,5
,CopaReyESP,16/17_CopaReyESP,2016-08-31,787,494,,0,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,780,613,,1,3
,CopaReyESP,16/17_CopaReyESP,2016-08-31,608,784,,4,2
,CopaReyESP,16/17_CopaReyESP,2016-08-31,777,692,,1,1
,CopaReyESP,16/17_CopaReyESP,2016-08-31,516,685,,2,1
,CopaReyESP,16/17_CopaReyESP,2016-08-31,700,672,,2,3
,CopaReyESP,16/17_CopaReyESP,2016-08-31,783,676,,0,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,514,773,,1,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,517,782,,4,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,778,504,,1,2
,CopaReyESP,16/17_CopaReyESP,2016-08-31,598,779,,2,1
,CopaReyESP,16/17_CopaReyESP,2016-08-31,522,612,,3,2
,CopaReyESP,16/17_CopaReyESP,2016-08-31,495,507,,2,1
,CopaReyESP,16/17_CopaReyESP,2016-08-31,533,781,,5,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,771,499,,1,0
,CopaReyESP,16/17_CopaReyESP,2016-08-31,506,765,,2,0
,CopaReyESP,16/17_CopaReyESP,2016-09-06,485,480,,2,2
,CopaReyESP,16/17_CopaReyESP,2016-09-06,489,492,,1,2
,CopaReyESP,16/17_CopaReyESP,2016-09-06,481,476,,0,2
,CopaReyESP,16/17_CopaReyESP,2016-09-07,495,775,,2,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,524,771,,1,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,527,514,,1,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,488,490,,1,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,692,504,,2,2
,CopaReyESP,16/17_CopaReyESP,2016-09-07,576,477,,1,1
,CopaReyESP,16/17_CopaReyESP,2016-09-07,613,608,,1,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,517,516,,3,3
,CopaReyESP,16/17_CopaReyESP,2016-09-07,522,787,,0,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,506,510,,4,0
,CopaReyESP,16/17_CopaReyESP,2016-09-07,672,783,,3,1
,CopaReyESP,16/17_CopaReyESP,2016-09-07,498,580,,2,1
,CopaReyESP,16/17_CopaReyESP,2016-09-07,598,533,,3,1
,CopaReyESP,16/17_CopaReyESP,2016-09-07,511,501,,1,1
